{0.0 km,0 %},
{0.893 km,4 %},
{0.901 km,9 %},
{0.91 km,10 %},
{0.926 km,8 %},
{0.935 km,7 %},
{0.943 km,5 %},
{0.951 km,1 %},
{0.96 km,0 %},
{1.16 km,1 %},
{1.291 km,0 %},
{1.883 km,1 %},
{1.941 km,2 %},
{2.033 km,3 %},
{2.05 km,2 %},
{2.075 km,3 %},
{2.083 km,4 %},
{2.091 km,5 %},
{2.108 km,6 %},
{2.141 km,7 %},
{2.15 km,6 %},
{2.2 km,4 %},
{2.208 km,3 %},
{2.216 km,0 %},
{2.515 km,1 %},
{2.523 km,2 %},
{2.55 km,3 %},
{2.556 km,2 %},
{2.565 km,3 %},
{2.573 km,2 %},
{2.581 km,3 %},
{2.615 km,2 %},
{2.681 km,3 %},
{2.94 km,2 %},
{3.115 km,3 %},
{3.223 km,4 %},
{3.265 km,3 %},
{3.571 km,4 %},
{3.58 km,3 %},
{3.613 km,2 %},
{3.672 km,3 %},
{3.688 km,4 %},
{3.73 km,3 %},
{3.755 km,2 %},
{3.772 km,1 %},
{3.797 km,0 %},
{4.122 km,1 %},
{4.13 km,2 %},
{4.155 km,1 %},
{4.163 km,0 %},
{4.247 km,1 %},
{4.272 km,2 %},
{4.322 km,1 %},
{4.347 km,0 %},
{4.553 km,1 %},
{4.571 km,2 %},
{4.621 km,1 %},
{4.636 km,0 %},
{4.686 km,4 %},
{4.695 km,6 %},
{4.728 km,4 %},
{4.736 km,5 %},
{4.753 km,4 %},
{4.761 km,3 %},
{4.77 km,2 %},
{4.778 km,0 %},
{5.000 km,0 %},
