{0.000 km,0 %},
{0.061 km,1 %},
{0.119 km,0 %},
{0.128 km,1 %},
{0.203 km,3 %},
{0.211 km,4 %},
{0.219 km,5 %},
{0.228 km,4 %},
{0.303 km,5 %},
{0.336 km,6 %},
{0.344 km,7 %},
{0.353 km,8 %},
{0.361 km,9 %},
{0.369 km,10 %},
{0.378 km,12 %},
{0.386 km,13 %},
{0.394 km,15 %},
{0.436 km,13 %},
{0.453 km,12 %},
{0.469 km,11 %},
{0.493 km,13 %},
{0.503 km,14 %},
{0.519 km,13 %},
{0.534 km,14 %},
{0.551 km,13 %},
{0.559 km,12 %},
{0.569 km,10 %},
{0.576 km,7 %},
{0.584 km,4 %},
{0.593 km,1 %},
{0.603 km,0 %},
{0.701 km,7 %},
{0.709 km,14 %},
{0.718 km,15 %},
{0.776 km,6 %},
{0.784 km,0 %},
{0.851 km,1 %},
{0.859 km,3 %},
{0.868 km,5 %},
{0.876 km,6 %},
{0.884 km,7 %},
{0.893 km,8 %},
{0.909 km,9 %},
{0.918 km,10 %},
{0.934 km,12 %},
{0.951 km,13 %},
{0.976 km,14 %},
{1.019 km,13 %},
{1.026 km,14 %},
{1.043 km,13 %},
{1.093 km,12 %},
{1.109 km,11 %},
{1.126 km,10 %},
{1.134 km,9 %},
{1.143 km,8 %},
{1.151 km,7 %},
{1.159 km,6 %},
{1.168 km,5 %},
{1.176 km,4 %},
{1.184 km,3 %},
{1.201 km,2 %},
{1.209 km,1 %},
{1.234 km,0 %},
{1.309 km,1 %},
{1.343 km,0 %},
{1.791 km,2 %},
{1.799 km,4 %},
{1.808 km,6 %},
{1.816 km,8 %},
{1.824 km,9 %},
{1.833 km,10 %},
{1.841 km,11 %},
{1.849 km,12 %},
{1.866 km,13 %},
{1.916 km,12 %},
{1.941 km,13 %},
{1.958 km,14 %},
{1.966 km,13 %},
{2.008 km,14 %},
{2.041 km,15 %},
{2.074 km,14 %},
{2.091 km,13 %},
{2.099 km,14 %},
{2.108 km,13 %},
{2.166 km,14 %},
{2.183 km,13 %},
{2.191 km,14 %},
{2.199 km,13 %},
{2.216 km,12 %},
{2.258 km,13 %},
{2.266 km,12 %},
{2.274 km,11 %},
{2.306 km,10 %},
{2.324 km,11 %},
{2.331 km,12 %},
{2.364 km,13 %},
{2.373 km,12 %},
{2.431 km,11 %},
{2.439 km,12 %},
{2.464 km,11 %},
{2.489 km,10 %},
{2.548 km,11 %},
{2.576 km,12 %},
{2.581 km,11 %},
{2.589 km,12 %},
{2.614 km,13 %},
{2.623 km,12 %},
{2.631 km,13 %},
{2.639 km,11 %},
{2.648 km,12 %},
{2.656 km,11 %},
{2.689 km,10 %},
{2.706 km,9 %},
{2.731 km,8 %},
{2.748 km,7 %},
{2.756 km,6 %},
{2.773 km,5 %},
{2.781 km,4 %},
{2.789 km,3 %},
{2.806 km,2 %},
{2.831 km,1 %},
{2.915 km,0 %},
{3.073 km,1 %},
{3.081 km,2 %},
{3.09 km,1 %},
{3.106 km,0 %},
{3.205 km,4 %},
{3.215 km,11 %},
{3.221 km,15 %},
{4.286 km,14 %},
{4.295 km,10 %},
{4.303 km,6 %},
{4.313 km,2 %},
{4.32 km,0 %},
{4.336 km,2 %},
{4.353 km,1 %},
{4.386 km,0 %},
{4.428 km,1 %},
{4.436 km,2 %},
{4.47 km,1 %},
{4.486 km,0 %},
{5.751 km,7 %},
{5.759 km,13 %},
{5.768 km,15 %},
{5.826 km,12 %},
{5.834 km,4 %},
{5.843 km,1 %},
{5.851 km,0 %},
{6.200 km,0 %},
