{1.167 km,1 %},
{1.208 km,2 %},
{1.306 km,3 %},
{1.333 km,4 %},
{1.347 km,7 %},
{1.361 km,4 %},
{1.375 km,3 %},
{1.389 km,2 %},
{1.403 km,1 %},
{1.431 km,0 %},
{1.792 km,1 %},
{1.806 km,0 %},
{2.083 km,1 %},
{2.097 km,3 %},
{2.111 km,2 %},
{2.125 km,0 %},
{2.414 km,1 %},
{2.5 km,0 %},
{4.12 km,1 %},
{4.133 km,2 %},
{4.147 km,4 %},
{4.161 km,6 %},
{4.189 km,7 %},
{4.217 km,6 %},
{4.231 km,7 %},
{4.245 km,6 %},
{4.267 km,7 %},
{4.286 km,6 %},
{4.32 km,7 %},
{4.342 km,5 %},
{4.356 km,3 %},
{4.37 km,1 %},
{4.383 km,0 %},
{5.217 km,1 %},
{5.286 km,0 %},
{5.481 km,1 %},
{5.533 km,2 %},
{5.645 km,3 %},
{5.658 km,2 %},
{5.769 km,1 %},
{5.783 km,2 %},
{5.811 km,1 %},
{5.825 km,2 %},
{5.867 km,1 %},
{5.881 km,2 %},
{5.911 km,1 %},
{5.922 km,2 %},
{5.978 km,1 %},
{5.992 km,2 %},
{6.019 km,1 %},
{6.075 km,2 %},
{6.089 km,3 %},
{6.117 km,2 %},
{6.394 km,1 %},
{6.436 km,2 %},
{6.769 km,3 %},
{6.783 km,2 %},
{6.978 km,1 %},
{6.992 km,2 %},
{7.006 km,1 %},
{7.058 km,0 %},
{7.1 km,1 %},
{7.117 km,0 %},
{7.322 km,1 %},
{7.336 km,7 %},
{7.35 km,9 %},
{7.364 km,8 %},
{7.378 km,7 %},
{7.392 km,6 %},
{7.405 km,4 %},
{7.419 km,1 %},
{7.433 km,0 %},
{7.825 km,2 %},
{7.839 km,4 %},
{7.853 km,5 %},
{7.88 km,4 %},
{7.894 km,5 %},
{7.908 km,4 %},
{7.922 km,1 %},
{7.936 km,0 %},
{8.172 km,2 %},
{8.2 km,3 %},
{8.228 km,2 %},
{8.325 km,3 %},
{8.35 km,1 %},
{8.364 km,0 %},
{8.586 km,1 %},
{8.6 km,4 %},
{8.614 km,6 %},
{8.628 km,7 %},
{8.694 km,6 %},
{8.697 km,5 %},
{8.711 km,4 %},
{8.753 km,3 %},
{8.792 km,4 %},
{8.794 km,5 %},
{8.808 km,6 %},
{8.819 km,5 %},
{8.833 km,4 %},
{8.847 km,3 %},
{8.861 km,1 %},
{8.892 km,0 %},
{10.206 km,1 %},
{10.222 km,0 %},
{10.247 km,1 %},
{10.261 km,2 %},
{10.289 km,3 %},
{10.306 km,5 %},
{10.32 km,6 %},
{10.333 km,5 %},
{10.347 km,6 %},
{10.372 km,5 %},
{10.859 km,1 %},
{10.942 km,0 %},
{11.084 km,1 %},
{11.15 km,1 %},
{11.289 km,0 %},
{11.567 km,1 %},
{11.622 km,0 %},
{11.675 km,7 %},
{11.689 km,14 %},
{11.709 km,11 %},
{11.72 km,7 %},
{11.734 km,0 %},
{12.092 km,2 %},
{12.106 km,3 %},
{12.12 km,4 %},
{12.148 km,3 %},
{12.161 km,4 %},
{12.384 km,3 %},
{12.411 km,3 %},
{12.425 km,2 %},
{12.439 km,3 %},
{12.523 km,4 %},
{12.536 km,3 %},
